	Batch	Gene Wiki Page	status	Wikipedia update period
0		https://en.wikipedia.org/wiki/Surfactant_protein_A1	http://www.sciencedirect.com/science/article/pii/S0378111912012206	20120830
1		https://en.wikipedia.org/wiki/Surfactant_protein_A2	http://www.sciencedirect.com/science/article/pii/S0378111912012206	20120830
2		http://en.wikipedia.org/wiki/MiR-155	http://www.sciencedirect.com/science/article/pii/S0378111912015120	20130228
3		http://en.wikipedia.org/wiki/Epoxide_hydrolase_2	http://www.sciencedirect.com/science/article/pii/S0378111913006173	20130531
4		http://en.wikipedia.org/wiki/LIG3	http://www.sciencedirect.com/science/article/pii/S0378111913011219	20130830
5		http://en.wikipedia.org/wiki/Kinesin_family_member_11	http://www.sciencedirect.com/science/article/pii/S0378111913010202	20121231
6	2	http://en.wikipedia.org/wiki/NEDD4L	http://www.sciencedirect.com/science/article/pii/S0378111914013286	20140930
7	2*	http://en.wikipedia.org/wiki/NEDD4	http://www.sciencedirect.com/science/article/pii/S0378111914014164	20141031
8	1	http://en.wikipedia.org/wiki/BCAR1	http://www.sciencedirect.com/science/article/pii/S0378111915001754	20141231
9	2	https://en.wikipedia.org/wiki/Class_III_%CE%B2-tubulin	http://www.sciencedirect.com/science/article/pii/S0378111915003674	20150131
10	1*	https://en.wikipedia.org/wiki/NEDD9	http://www.sciencedirect.com/science/article/pii/S0378111915005715	20150131
11	4	http://en.wikipedia.org/wiki/CSRP3	http://www.sciencedirect.com/science/article/pii/S0378111915005193	20150331
12	5	http://en.wikipedia.org/wiki/PON1	http://www.sciencedirect.com/science/article/pii/S0378111915005739	20150331
13	3	http://en.wikipedia.org/wiki/N-alpha-acetyltransferase_10	http://www.sciencedirect.com/science/article/pii/S0378111915005703	20141231
14	3	http://en.wikipedia.org/wiki/NAA15	http://www.sciencedirect.com/science/article/pii/S0378111915005703	20141231
15	3	http://en.wikipedia.org/wiki/IFNA2	http://www.sciencedirect.com/science/article/pii/S0378111915005727	20150331
16	2	http://en.wikipedia.org/wiki/ERCC4	http://www.sciencedirect.com/science/article/pii/S0378111915007349	20150331
17	2*	http://en.wikipedia.org/wiki/ERCC1	http://www.sciencedirect.com/science/article/pii/S0378111915007349	20150930
18	4	http://en.wikipedia.org/wiki/MYL2	http://www.sciencedirect.com/science/article/pii/S0378111915007350	20150228
19	2	http://en.wikipedia.org/wiki/Heat_shock_protein_90kDa_alpha_%28cytosolic%29,_member_A1	http://www.sciencedirect.com/science/article/pii/S037811191500726X	20150228
20	4	http://en.wikipedia.org/wiki/Atrial_natriuretic_peptide	http://www.sciencedirect.com/science/article/pii/S0378111915007374	20150630
21	1	http://en.wikipedia.org/wiki/IGFBP3	http://www.sciencedirect.com/science/article/pii/S0378111915007362	20141231
22	5	http://en.wikipedia.org/wiki/KCNE2	http://www.sciencedirect.com/science/article/pii/S0378111915007714	20150430
23	1*	http://en.wikipedia.org/wiki/CASS4	http://www.sciencedirect.com/science/article/pii/S0378111915007726	20150430
24	1*	http://en.wikipedia.org/wiki/Embryonal_fyn-associated_substrate	http://www.sciencedirect.com/science/article/pii/S0378111915007726	20150430
25	2	http://en.wikipedia.org/wiki/RAPGEF3	http://www.sciencedirect.com/science/article/pii/S0378111915007738	20150630
26	5	http://en.wikipedia.org/wiki/FHL2	http://www.sciencedirect.com/science/article/pii/S0378111915008689	20150430
27	5	http://en.wikipedia.org/wiki/Troponin_C_type_1	http://www.sciencedirect.com/science/article/pii/S0378111915009154	20150430
28	1	https://en.wikipedia.org/wiki/EPHX1	http://www.sciencedirect.com/science/article/pii/S0378111915009129	20150131
29	1	http://en.wikipedia.org/wiki/ALOX15	http://www.sciencedirect.com/science/article/pii/S0378111915009142	20150630
30	3	http://en.wikipedia.org/wiki/CUL4A	http://www.sciencedirect.com/science/article/pii/S0378111915010628	20150228
31	3*	http://en.wikipedia.org/wiki/CUL4B	http://www.sciencedirect.com/science/article/pii/S0378111915010628	20150331
32	1	http://en.wikipedia.org/wiki/HSP90AB1	http://www.sciencedirect.com/science/article/pii/S0378111915010616	20150430
33	5	http://en.wikipedia.org/wiki/Nav1.5	http://www.sciencedirect.com/science/article/pii/S0378111915010604	20150630
34	5	http://en.wikipedia.org/wiki/Myosin_binding_protein_C,_cardiac	http://www.sciencedirect.com/science/article/pii/S0378111915010884	20150630
35	2*	http://en.wikipedia.org/wiki/RAPGEF4	http://www.sciencedirect.com/science/article/pii/S0378111915011385	20150630
36	4	http://en.wikipedia.org/wiki/MAPK14	http://www.sciencedirect.com/science/article/pii/S0378111915011397	20150131
37	5*	https://en.wikipedia.org/wiki/KCNE1	http://www.sciencedirect.com/science/article/pii/S0378111915011683	20150731
38	5*	https://en.wikipedia.org/wiki/KCNE3	http://www.sciencedirect.com/science/article/pii/S0378111915011683	20150731
39	5	http://en.wikipedia.org/wiki/Endothelial_NOS	http://www.sciencedirect.com/science/article/pii/S0378111915011701	20150831
40	3	https://en.wikipedia.org/wiki/Interferon_alpha-1	http://www.sciencedirect.com/science/article/pii/S0378111915011671	20150331
41	5	http://en.wikipedia.org/wiki/HFE_(gene)	http://www.sciencedirect.com/science/article/pii/S0378111915012172	20150531
42	4*	https://en.wikipedia.org/wiki/TNNI1	http://www.sciencedirect.com/science/article/pii/S0378111915012603	20150930
43	4*	https://en.wikipedia.org/wiki/TNNI2	http://www.sciencedirect.com/science/article/pii/S0378111915012603	20150930
44	4*	https://en.wikipedia.org/wiki/TNNI3	http://www.sciencedirect.com/science/article/pii/S0378111915012603	20150930
45	5	http://en.wikipedia.org/wiki/JAG1	http://www.sciencedirect.com/science/article/pii/S0378111915012986	20150831
46	7	http://en.wikipedia.org/wiki/NGLY1	http://www.sciencedirect.com/science/article/pii/S0378111915014304	20150930
47	5	http://en.wikipedia.org/wiki/PRKACA	http://www.sciencedirect.com/science/article/pii/S0378111915014882	20151031
48	3*	http://en.wikipedia.org/wiki/SCNN1A	http://www.sciencedirect.com/science/article/pii/S0378111915015735	20151231
49	3*	http://en.wikipedia.org/wiki/SCNN1B	http://www.sciencedirect.com/science/article/pii/S0378111915015735	20151231
50	3*	http://en.wikipedia.org/wiki/SCNN1G	http://www.sciencedirect.com/science/article/pii/S0378111915015735	20151231
51	3*	http://en.wikipedia.org/wiki/SCNN1D	http://www.sciencedirect.com/science/article/pii/S0378111915015735	20151231
52	4*	https://en.wikipedia.org/wiki/TNNT1	http://www.sciencedirect.com/science/article/pii/S0378111916000378	20151130
53	4*	https://en.wikipedia.org/wiki/TNNT2	http://www.sciencedirect.com/science/article/pii/S0378111916000378	20151130
54	4*	https://en.wikipedia.org/wiki/TNNT3	http://www.sciencedirect.com/science/article/pii/S0378111916000378	20151130
55	8	http://en.wikipedia.org/wiki/MTA3	http://www.sciencedirect.com/science/article/pii/S037811191630052X	20160228
56	8*	http://en.wikipedia.org/wiki/MTA2	http://www.sciencedirect.com/science/article/pii/S037811191630052X	20160228
57	8*	http://en.wikipedia.org/wiki/MTA1	http://www.sciencedirect.com/science/article/pii/S037811191630052X	20160228
58	8	http://en.wikipedia.org/wiki/SALL4	http://www.sciencedirect.com/science/article/pii/S0378111916300725	20151231
59	1	https://en.wikipedia.org/wiki/Serum_amyloid_A1	http://www.sciencedirect.com/science/article/pii/S0378111916301408	20160228
60	7	http://en.wikipedia.org/wiki/Valosin-containing_protein	http://www.sciencedirect.com/science/article/pii/S0378111916301251	20151130
61	4*	https://en.wikipedia.org/wiki/Calponin_1	http://www.sciencedirect.com/science/article/pii/S0378111916301238	20160228
62	4*	https://en.wikipedia.org/wiki/Calponin_2	http://www.sciencedirect.com/science/article/pii/S0378111916301238	20160228
63	4*	https://en.wikipedia.org/wiki/Calponin_3,_acidic	http://www.sciencedirect.com/science/article/pii/S0378111916301238	20160228
64	8	http://en.wikipedia.org/wiki/NFE2L1	http://www.sciencedirect.com/science/article/pii/S0378111916301469	20160228
65	8*	https://en.wikipedia.org/wiki/PELP-1	http://www.sciencedirect.com/science/article/pii/S0378111916301627	20151130
66	8	https://en.wikipedia.org/wiki/Jun_dimerization_protein	http://www.sciencedirect.com/science/article/pii/S0378111916302384	20160131
67	5	http://en.wikipedia.org/wiki/Cytochrome_b-245,_alpha_polypeptide	http://www.sciencedirect.com/science/article/pii/S0378111916302402	20160131
68	8	http://en.wikipedia.org/wiki/MAFG	http://www.sciencedirect.com/science/article/pii/S0378111916302487	20160131
69	8*	http://en.wikipedia.org/wiki/MAFK	http://www.sciencedirect.com/science/article/pii/S0378111916302487	20160131
70	8*	https://en.wikipedia.org/wiki/MAFF_(gene)	http://www.sciencedirect.com/science/article/pii/S0378111916302487	20160131
71	2	http://en.wikipedia.org/wiki/HSD17B1	http://www.sciencedirect.com/science/article/pii/S0378111916303018	20160228
72	7	https://en.wikipedia.org/wiki/Tenomodulin	http://www.sciencedirect.com/science/article/pii/S0378111916303213	20160430
73	8	https://en.wikipedia.org/wiki/JADE1	http://www.sciencedirect.com/science/article/pii/S0378111916303596	20160430
74	8	http://en.wikipedia.org/wiki/TEAD1	http://www.sciencedirect.com/science/article/pii/S0378111916305546	20160731
75	8*	http://en.wikipedia.org/wiki/TEAD2	http://www.sciencedirect.com/science/article/pii/S0378111916305546	20160731
76	5*	http://en.wikipedia.org/wiki/PRKCE	http://www.sciencedirect.com/science/article/pii/S0378111916304802	20160131
77	5*	https://en.wikipedia.org/wiki/KCNE4	http://www.sciencedirect.com/science/article/pii/S0378111916306151	20160731
78	5*	https://en.wikipedia.org/wiki/KCNE5	http://www.sciencedirect.com/science/article/pii/S0378111916306151	20160731
79	8*	https://en.wikipedia.org/wiki/POLD1	http://www.sciencedirect.com/science/article/pii/S0378111916304942	20160531
80	5	https://en.wikipedia.org/wiki/APOA5	http://www.sciencedirect.com/science/article/pii/S0378111916306163	20160930
81	2	http://en.wikipedia.org/wiki/IL17A	http://www.sciencedirect.com/science/article/pii/S0378111917300409	20161130
84	5	https://en.wikipedia.org/wiki/Fibrillin_1	http://www.sciencedirect.com/science/article/pii/S0378111916305595	20180630
85	8*	https://en.wikipedia.org/wiki/PAK1	http://www.sciencedirect.com/science/article/pii/S0378111916309817	20161130
86	8*	https://en.wikipedia.org/wiki/PAK2	http://www.sciencedirect.com/science/article/pii/S0378111916309817	20161130
87	8*	https://en.wikipedia.org/wiki/PAK3	http://www.sciencedirect.com/science/article/pii/S0378111916309817	20161130
88	8*	https://en.wikipedia.org/wiki/PAK4	http://www.sciencedirect.com/science/article/pii/S0378111916309817	20161130
89	8*	https://en.wikipedia.org/wiki/PAK6	http://www.sciencedirect.com/science/article/pii/S0378111916309817	20161130
90	8*	https://en.wikipedia.org/wiki/PAK5	http://www.sciencedirect.com/science/article/pii/S0378111916309817	20161130
91	9	https://en.wikipedia.org/wiki/KLF4	http://www.sciencedirect.com/science/article/pii/S0378111917301142	20170228
92	7	https://en.wikipedia.org/wiki/Carbonic_anhydrase_12	http://www.sciencedirect.com/science/article/pii/S0378111917302780	20160530
93	9	https://en.wikipedia.org/wiki/PDGFRA	http://www.sciencedirect.com/science/article/pii/S0378111917301385	20170430
94	9	https://en.wikipedia.org/wiki/PDGFRB	http://www.sciencedirect.com/science/article/pii/S0378111917301385	20170430
95		https://en.wikipedia.org/wiki/Binding_immunoglobulin_protein	http://www.sciencedirect.com/science/article/pii/S0378111917301403	20160331
96	9	https://en.wikipedia.org/wiki/KMT2D	http://www.sciencedirect.com/science/article/pii/S0378111917305061	20170531
97	9	https://en.wikipedia.org/wiki/MYH9	https://www.sciencedirect.com/science/article/pii/S0378111918304165?via%3Dihub	20180430
98	9	https://en.wikipedia.org/wiki/Folliculin	https://www.sciencedirect.com/science/article/pii/S037811191730776X?via%3Dihub	20170930
99	10	https://en.wikipedia.org/wiki/PURA	https://www.sciencedirect.com/science/article/pii/S037811191731048X?via%3Dihub	20170630
100	9	https://en.wikipedia.org/wiki/PAX3	https://www.sciencedirect.com/science/article/pii/S0378111918304694?via%3Dihub#s0105	20180131
102	10	https://en.wikipedia.org/wiki/SKIV2L	https://www.sciencedirect.com/science/article/pii/S0378111919301933?via%3Dihub	2018131
103	10	https://en.wikipedia.org/wiki/Collagen,_type_III,_alpha_1	https://www.sciencedirect.com/science/article/pii/S0378111919304652?via%3Dihub	20190331
104	10	https://en.wikipedia.org/wiki/CSNK1D	https://www.sciencedirect.com/science/article/pii/S037811191930664X?via%3Dihub	20190430
105	10	https://en.wikipedia.org/wiki/TBX3	https://www.sciencedirect.com/science/article/pii/S0378111919308820?via%3Dihub	20190731
106	9	https://en.wikipedia.org/wiki/Tafazzin	https://www.sciencedirect.com/science/article/pii/S0378111919308078?via%3Dihub	20190831
107	9	https://en.wikipedia.org/wiki/Interferon_Lambda_4	https://www.sciencedirect.com/science/article/pii/S0378111919309485?via%3Dihub	20191231
108	10	https://en.wikipedia.org/wiki/Integrin_beta_6	https://www.sciencedirect.com/science/article/pii/S2590158319300208	20191031
110	10	https://en.wikipedia.org/wiki/MID1	https://www.sciencedirect.com/science/article/abs/pii/S0378111920303243?via%3Dihub	20191231
111	10	https://en.wikipedia.org/wiki/SMC1A	https://www.sciencedirect.com/science/article/abs/pii/S037811192030281X?via%3Dihub	20200131
112	10	https://en.wikipedia.org/wiki/CLCN5	https://www.sciencedirect.com/science/article/abs/pii/S0378111920303310?via%3Dihub	20200228
113	11	https://en.wikipedia.org/wiki/Apolipoprotein_D	https://www.sciencedirect.com/science/article/abs/pii/S0378111920305436?via%3Dihub	20200531
114	10	https://en.wikipedia.org/wiki/RAD21	https://www.sciencedirect.com/science/article/abs/pii/S0378111920306351?via%3Dihub	20200630
115	10	https://en.wikipedia.org/wiki/Melanocortin_2_receptor_accessory_protein	https://www.sciencedirect.com/science/article/abs/pii/S0378111920306181?via%3Dihub	20200630
116	10	https://en.wikipedia.org/wiki/MRAP2	https://www.sciencedirect.com/science/article/abs/pii/S0378111920306181?via%3Dihub	20200630
117	11	https://en.wikipedia.org/wiki/Kalirin	https://www.sciencedirect.com/science/article/abs/pii/S0378111920309756?via%3Dihub	20200831
119	11	https://en.wikipedia.org/wiki/ETFA	https://www.sciencedirect.com/science/article/abs/pii/S0378111921000019?via%3Dihub	20200731
120	11	https://en.wikipedia.org/wiki/ETFB	https://www.sciencedirect.com/science/article/abs/pii/S0378111921000019?via%3Dihub	20200731
121	11	https://en.wikipedia.org/wiki/ABCA7	https://www.sciencedirect.com/science/article/abs/pii/S0378111920309859?via%3Dihub	20201031
122	10	https://en.wikipedia.org/wiki/RBM10	https://www.sciencedirect.com/science/article/pii/S0378111921000573?via%3Dihub	20200831
123	10	https://en.wikipedia.org/wiki/Zinc_transporter_ZIP12	https://www.sciencedirect.com/science/article/pii/S0378111921004194?via%3Dihub	20210430
124	11	https://en.wikipedia.org/wiki/GABRB2	https://www.sciencedirect.com/science/article/abs/pii/S0378111921006168?via%3Dihub	20210331
125	10	https://en.wikipedia.org/wiki/AGTPBP1_(gene)	https://www.sciencedirect.com/science/article/abs/pii/S0378111921005965	20210228
128	10	https://en.wikipedia.org/wiki/WNK4		20200630
129	10	https://en.wikipedia.org/wiki/TRPV6		20200831
